Name,Rate,Gender
آباد,Very Rare,Male
آبادان,Very Rare,Male
آبادیس,Very Rare,Male
آباریس,Very Rare,Male
آباقا,Very Rare,Male
آبان,Very Rare,Male
آبان آسا,Very Rare,Female
آبان دخت,Very Rare,Female
آبان دیس,Very Rare,Female
آبان زاد,Very Rare,Male
آبان سا,Very Rare,Female
آبان سار,Very Rare,Neutral
آبان فام,Very Rare,Female
آبان مهر,Very Rare,Female
آبان یاد,Very Rare,Male
آبانداد,Very Rare,Neutral
آبانه,Very Rare,Female
آبانک,Very Rare,Female
آباگران,Very Rare,Male
آبتاب,Very Rare,Female
آبتین,Common,Male
آبد,Very Rare,Male
آبدست,Very Rare,Male
آبدوس,Very Rare,Male
آبدیس,Very Rare,Female
آبدین,Very Rare,Male
آبرام,Very Rare,Male
آبراهام,Very Rare,Male
آبرخ,Very Rare,Female
آبرلی,Very Rare,Male
آبرنگ,Very Rare,Female
آبرو,Very Rare,Male
آبرود,Very Rare,Female
آبروشن,Very Rare,Female
آبرون,Very Rare,Female
آبسال,Very Rare,Neutral
آبسالان,Very Rare,Female
آبستا,Very Rare,Male
آبش,Very Rare,Male
آبشار,Common,Female
آبشن,Very Rare,Female
آبلاتکا,Very Rare,Male
آبلوج,Very Rare,Female
آبناز,Common,Female
آبنوس,Common,Female
آبنوش,Common,Female
آبو,Very Rare,Male
آبکار,Very Rare,Male
آبگل,Common,Female
آبگون,Very Rare,Female
آبگین,Common,Neutral
آبگینه,Very Rare,Female
آبی,Very Rare,Male
آبیار,Very Rare,Male
آبیژ,Very Rare,Female
آتا,Common,Male
آتاباللی,Very Rare,Male
آتابای,Very Rare,Male
آتابیک,Very Rare,Male
آتابیگ,Very Rare,Male
آتاقلیچ,Very Rare,Male
آتامکین,Very Rare,Male
آتان,Very Rare,Male
آتاناز,Common,Female
آتاگلدی,Very Rare,Male
آتبین,Very Rare,Neutral
آتجان,Very Rare,Male
آتر,Very Rare,Female
آترا,Very Rare,Female
آترابان,Very Rare,Male
آتربان,Very Rare,Male
آتردین,Very Rare,Male
آتروان,Very Rare,Male
آترون,Very Rare,Male
آتروپات,Very Rare,Male
آتری,Very Rare,Female
آتریسا,Very Rare,Female
آترین,Very Rare,Neutral
آترینا,Very Rare,Female
آترینه,Very Rare,Male
آتسا,Common,Female
آتسز,Very Rare,Male
آتش,Very Rare,Neutral
آتش برزین,Very Rare,Male
آتش پا,Very Rare,Male
آتشبان,Very Rare,Male
آتشبند,Very Rare,Neutral
آتشدخت,Common,Female
آتشرخ,Common,Neutral
آتشزاد,Common,Male
آتشفام,Very Rare,Female
آتشه,Very Rare,Female
آتشپاره,Very Rare,Female
آتشک,Very Rare,Female
آتشکار,Common,Male
آتشگون,Very Rare,Female
آتشی,Very Rare,Female
آتشیزه,Very Rare,Female
آتشین,Very Rare,Female
آتلاز,Very Rare,Female
آتمش,Very Rare,Male
آتنا,Frequently Used,Female
آتنایا,Very Rare,Female
آتنه,Very Rare,Female
آتور,Very Rare,Female
آتورپات,Very Rare,Male
آتورینا,Very Rare,Female
آتوسا,Common,Female
آتوشه,Very Rare,Female
آتیال,Very Rare,Male
آتیتی,Very Rare,Male
آتیجی,Very Rare,Male
آتیس,Very Rare,Female
آتیلا,Common,Male
آتین,Very Rare,Male
آتیه,Very Rare,Female
آثویه,Very Rare,Male
آجیر,Very Rare,Male
آخش,Very Rare,Male
آخشیج,Very Rare,Male
آدا,Very Rare,Female
آداد,Very Rare,Male
آدارایل,Very Rare,Male
آداش,Very Rare,Male
آدان,Very Rare,Male
آدبهاوا,Very Rare,Male
آدخ,Very Rare,Male
آدخت,Very Rare,Female
آدر,Very Rare,Male
آدرباد,Very Rare,Male
آدریان,Very Rare,Male
آدریانوس,Very Rare,Male
آدرین,Very Rare,Male
آدلی,Very Rare,Male
آدم,Very Rare,Male
آدنا,Common,Female
آدنیس,Common,Female
آدهاوا,Very Rare,Male
آدورا,Very Rare,Male
آدورینا,Very Rare,Female
آدونیس,Common,Female
آدی,Very Rare,Male
آدیش,Very Rare,Male
آدیشه,Very Rare,Female
آدین,Very Rare,Male
آدینه,Very Rare,Neutral
آدینگ,Very Rare,Male
آدیگوزل,Very Rare,Male
آذار,Very Rare,Female
آذر,Common,Female
آذر برزین,Very Rare,Male
آذرآباد,Very Rare,Neutral
آذرآیین,Very Rare,Male
آذرافروز,Very Rare,Neutral
آذرافزا,Very Rare,Neutral
آذران,Very Rare,Male
آذراوغلی,Very Rare,Male
آذربابا,Very Rare,Male
آذرباد,Very Rare,Male
آذربان,Very Rare,Male
آذربانو,Common,Female
آذربد,Common,Male
آذربه,Very Rare,Male
آذربهرام,Very Rare,Male
آذربو,Very Rare,Female
آذربود,Very Rare,Male
آذربویه,Very Rare,Female
آذرتاش,Common,Male
آذرتوس,Very Rare,Male
آذرجهان,Very Rare,Female
آذرجوش,Very Rare,Male
آذرخاتون,Very Rare,Female
آذرخش,Very Rare,Neutral
آذرداد,Common,Male
آذردخت,Common,Female
آذردیس,Very Rare,Neutral
آذررخ,Common,Neutral
آذرشب,Very Rare,Male
آذرشسب,Very Rare,Male
آذرشست,Very Rare,Neutral
آذرشن,Very Rare,Male
آذرطوس,Very Rare,Male
آذرفر,Very Rare,Male
آذرفرنبغ,Very Rare,Male
آذرفروز,Very Rare,Neutral
آذرفزا,Very Rare,Neutral
آذرماه,Very Rare,Female
آذرماهان,Very Rare,Male
آذرمه,Common,Female
آذرمهر,Common,Neutral
آذرمهربرزین,Very Rare,Male
آذرمیدخت,Common,Female
آذرمینا,Common,Female
آذرنرسی,Very Rare,Male
آذرنوش,Common,Neutral
آذرنگ,Very Rare,Male
آذرهمایون,Very Rare,Female
آذروان,Very Rare,Male
آذرپاد,Very Rare,Male
آذرپناه,Very Rare,Male
آذرپژوه,Very Rare,Male
آذرپی,Very Rare,Male
آذرچهر,Very Rare,Neutral
آذرک,Very Rare,Female
آذرکار,Very Rare,Male
آذرکیش,Very Rare,Male
آذرکیوان,Very Rare,Male
آذرگشسب,Very Rare,Male
آذرگشسپ,Very Rare,Male
آذرگل,Common,Female
آذرگون,Very Rare,Female
آذرین,Very Rare,Neutral
آذریون,Very Rare,Female
آذین,Common,Neutral
آذین دخت,Common,Female
آذین فر,Very Rare,Male
آذین گل,Common,Female
آرا,Very Rare,Female
آراج,Very Rare,Male
آراد,Very Rare,Male
آرارات,Very Rare,Male
آراز,Very Rare,Male
آرازش,Very Rare,Male
آراس,Very Rare,Male
آراسته,Common,Neutral
آراستی,Very Rare,Neutral
آراشید,Common,Neutral
آرالیا,Very Rare,Female
آرام,Common,Neutral
آرام دخت,Common,Female
آرام دل,Common,Female
آرامش,Common,Female
آرامه,Very Rare,Female
آرامیس,Common,Female
آران,Very Rare,Male
آراگل,Common,Female
آرایه,Very Rare,Female
آرتا,Very Rare,Neutral
